"block","1_PW1_e","2_DW_e","3_PW2_e","4_PW1_c","5_DW_c","6_PW2_c","sparse_PW1_C","5_DW_c","sparse_PW2_C","1_pred_decom_e","2_pred_conv_e","3_main_e","4_overhead_e","5_pred_decom_c","6_pred_conv_c","7_main_c"
"1","26.56","43.00220305","35.52","8192","6181","12288","960","6181","2688","67.88","133.65","33.95","142.30","6912","3888","27648"
"2","47.32","64.52531617","49.88","18432","9253","18432","2688","9253","3456","84.45","133.65","49.35","208.64","10368","3888","41472"
"3","47.32","64.52531617","56.82","18432","9253","24576","2624","9253","4608","84.45","133.65","49.35","208.64","10368","3888","41472"
"4","78.59","85.99842928999999","74.92","32768","12325","32768","6208","12325","5632","84.45","117.20","18.58","102.10","10368","972","13824"
"5","78.59","85.99842928999999","74.92","32768","12325","32768","5760","12325","5632","28.95","89.40","20.83","105.68","3456","972","18432"
"6","78.59","47.28838858","32.7","32768","3107","16384","6464","3107","2832","28.95","89.40","20.83","105.68","3456","972","18432"
"7","60.88","45.68247791","65.28","32768","6155","32768","5248","6155","6496","28.95","89.40","20.83","105.68","3456","972","18432"
"8","60.88","45.68247791","65.28","32768","6155","32768","5632","6155","6656","28.95","19.31","5.77","60.68","3456","243","5760"
"9","60.88","45.68247791","65.28","32768","6155","32768","5248","6155","6688","10.81","10.12","6.02","52.54","1080","243","7200"
"10","60.88","45.68247791","86.73","32768","6155","49152","5632","6155","8736","10.81","10.12","6.02","52.54","1080","243","7200"
"11","123.54","68.51601775","123.04","73728","9227","73728","11648","9227","10896","10.81","10.12","6.02","52.54","1080","243","7200"
"12","123.54","37.70767375","38.53","73728","2314","18432","12032","2314","4152","10.81","10.12","6.02","52.54","1080","243","7200"
"13","33.79","19.516287249999998","63.07","18432","2308","30720","2752","2308","4880","10.81","10.12","6.02","52.54","1080","243","7200"
"14","103.39","32.523425169999996","105.23","51200","3844","51200","11296","3844","10144","10.81","10.12","10.99","104.46","1080","243","14400"
"15","103.39","32.523425169999996","105.23","51200","3844","51200","11232","3844","10592","0","0","0","0","0","0","0"
"16","103.39","32.523425169999996","171.99","51200","3844","102400","11296","3844","15096","0","0","0","0","0","0","0"
"total","1191.53","797.37824845","1214.4199999999998","593920","102445","612352","106720","102445","109184","501.88999999999993","866.38","260.58000000000004","1406.56","58320.0","17253.0","235872.0"
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","cycles","speedup","","energy","speedup"
"fusion","311445.0","1.0","","3035.41","1.0"
"sparse","318349","1.0221676379457048","","",""
"fusion","1308717","4.202080624187256","","3203.3282484499996","1.055319791543811"
