,layer,PW1/L1_e,PW2_e,PW3_e,PW1/L1_c,PW2_c,PW3_c,sparse_PW1/L1_e,sparse_PW2_e,sparse_PW3_e,sparse_PW1_c,sparse_DW_c,sparse_PW2_c
0,conv1,9.89,0,0,12288,0,0,9.89,0,0,12288.0,0,0
1,DW1,9.26689332,0,0,6144,0,0,9.26689332,0,0,6144.0,0,0
2,PW1,10.33,0,0,8192,0,0,10.33,0,0,8192.0,0,0
3,b1,25.59,41.57292339999999,34.03,24576,12288,32768.0,24.5128535296,41.57292339999999,32.041479529700005,7936.0,9728.0,8192.0
4,b2,48.16,62.34218995999999,43.58,49152,18432,49152.0,44.53970655049999,62.34218995999999,41.122740013000005,15360.0,15872.0,9216.0
5,b3,23.79,21.60372935,8.21,24576,11520,10240.0,22.575426931200003,21.60372935,7.584075118599999,6528.0,4096.0,5248.0
6,b4,13.94,19.013507999999998,14.71,19200,19200,19200.0,12.70257472,19.013508,13.470235801600001,5632.0,5120.0,8448.0
7,b5,13.94,19.013507999999998,14.71,19200,19200,19200.0,12.70257472,19.013508,13.470235801600001,5088.0,5696.0,8704.0
8,b6,25.67,27.60935799,45.83,38400,7680,76800.0,23.190471603200002,27.60935799,40.8709432064,10336.0,24512.0,4736.0
9,b7,92.73,55.211056389999996,94.01,153600,15360,153600.0,82.69961832960001,55.21105639,83.97961832960002,40960.0,40480.0,6912.0
10,b8,92.73,55.211056389999996,94.01,153600,15360,153600.0,82.69961832960001,55.21105639,83.97961832960002,41440.0,42208.0,6656.0
11,b9,92.73,55.211056389999996,94.01,153600,15360,153600.0,82.69961832960001,55.21105639,83.97961832960002,41760.0,38912.0,8192.0
12,b10,92.73,55.211056389999996,117.45,153600,15360,215040.0,82.69961832960001,55.21105639,103.49728012799999,40800.0,54752.0,9984.0
13,b11,163.53,231.16716166999998,180.94,301056,21504,301056.0,143.99619217920005,231.16716167,161.4061921792,75712.0,78048.0,9216.0
14,b12,163.53,300.6864255,65.72,301056,26880,107520.0,143.99619217920005,300.6864255,56.138019737600004,77184.0,29664.0,12696.0
15,b13,92.1,363.73132330000004,89.67,153600,38400,153600.0,78.57985889279999,363.7313233,75.98145676799999,41136.0,41280.0,14848.0
16,b14,92.1,363.73132330000004,89.67,153600,38400,153600.0,78.57985889279999,363.7313233,75.98145676799999,38896.0,42864.0,14240.0
17,b15,92.1,92.28762836,177.11,153600,7680,307200.0,78.57985889279999,92.28762836,149.8451816192,38632.0,88560.0,3040.0
18,PW1,219.32,0,0,409600,0,0,219.32,0,0,409600.0,0,0
19,FC1,17.31,0,0,3200,0,0,17.31,0,0,3200.0,0,0
