"block","1_PW1_e","2_DW_e","3_PW2_e","4_PW1_c","5_DW_c","6_PW2_c","sparse_PW1_e","sparse_DW_e","sparse_PW2_e","sparse_PW1_C","sparse_PW2_C","sparse_DW_C","1_pred_decom_e","2_pred_conv_e","3_main_e","4_overhead_e","5_pred_decom_c","6_pred_conv_c","7_main_c"
"1","25.59","41.57292339999999","34.03","24576","12288","32768","24.5128535296","41.57292339999999","32.041479529700005","9216","9216","12288","89.74","300.65","33.06","150.64","11059","6220","55296"
"2","48.16","62.34218995999999","43.58","49152","18432","49152","44.53970655049999","62.34218995999999","41.122740013000005","16640","8192","13824","100.20","300.65","48.02","221.41","16588","6220","82944"
"3","48.16","62.34218995999999","58.07","49152","18432","65536","44.53970655049999","62.34218995999999","53.355210156599995","19456","9216","29184","100.20","300.65","48.02","221.41","16588","6220","82944"
"4","70.42","83.13145652","73.17","98304","24576","98304","65.2070932191","83.13145652","66.79379906889999","27776","14336","40960","100.20","189.52","18.14","73.05","16588","1555","27648"
"5","70.42","83.13145652","73.17","98304","24576","98304","65.2070932191","83.13145652","66.79379906889999","28288","12288","28160","31.40","63.08","20.28","96.64","5529","1555","36864"
"6","70.42","45.985480419999995","30.65","98304","6144","49152","65.2070932191","45.985480419999995","27.467222201800002","25344","3328","12672","31.40","63.08","20.28","96.64","5529","1555","36864"
"7","56.49","44.17637703","63.3","98304","12288","98304","50.1543825664","44.17637703","54.78748505269999","25888","5632","29952","31.40","63.08","20.28","96.64","5529","1555","36864"
"8","56.49","44.17637703","63.3","98304","12288","98304","50.1543825664","44.17637703","54.78748505269999","23968","6144","27904","31.40","9.01","7.13","30.06","5529","388","11520"
"9","56.49","44.17637703","63.3","98304","12288","98304","50.1543825664","44.17637703","54.78748505269999","24320","5376","29376","11.07","3.70","7.74","37.43","1728","388","14400"
"10","56.49","44.17637703","112.95","98304","12288","131072","50.1543825664","44.17637703","99.7770624768","24864","6400","46592","11.07","3.70","7.74","37.43","1728","388","14400"
"11","126.08","128.2032585","179.11","196608","18432","196608","111.4206956767","128.2032585","158.54226351980003","57920","7424","105856","11.07","3.70","7.74","37.43","1728","388","14400"
"12","37.12","18.904153","40.33","49152","4608","49152","32.0910831616","18.904153","35.40212443830001","14536","1984","15552","11.07","3.70","7.74","37.43","1728","388","14400"
"13","126.08","36.701515","69.85","196608","4608","81920","111.4206956767","36.701515","57.5102839841","55680","2368","28288","11.07","3.70","7.74","37.43","1728","388","14400"
"14","92.1","92.28762836","89.67","153600","7680","153600","78.57985889279999","92.28762836","75.98145676799999","39568","3176","43320","11.07","3.70","14.48","74.29","1728","388","28800"
"15","92.1","92.28762836","89.67","153600","7680","153600","78.57985889279999","92.28762836","75.98145676799999","39416","3056","41000","0","0","0","0","0","0","0"
"16","92.1","92.28762836","177.11","153600","7680","307200","78.57985889279999","92.28762836","149.8451816192","39176","2944","88136","0","0","0","0","0","0","0"
"total","1124.71","1015.8830164799998","1261.2600000000002","1714176","204288","1761280","1000.5031277468998","1015.8830164799998","1104.9765347712","472056","593064","101080","582.3600000000002","1311.92","268.39000000000004","1247.9299999999998","93307.0","27596.0","471744.0"
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","cycles","speedup","","energy","speedup"
"fusion","592647.0","1.0","","3410.6","1.0"
"sparse","1166200","1.9677818330304548","","3121.3626789980995","0.9151945930329266"
"dense","3679744","6.208997936376966","","3401.85301648","0.9974353534510056"
