1_PW1_e,2_PW2_e,3_DW_e,4_PW1_c,5_PW2_c,6_DW_c
47.88,71.64,66.59,24576,76800,7680
71.64,71.64,66.59,76800,76800,7680
71.64,71.64,66.59,76800,76800,7680
71.64,71.64,47.99,76800,76800,1920
18.39,54.51,36.25,19200,76800,3840
52.83,54.51,36.25,76800,76800,3840
52.83,54.51,36.25,76800,76800,3840
52.83,54.51,36.25,76800,76800,3840
52.83,54.51,36.25,76800,76800,3840
52.83,54.51,36.25,76800,76800,3840
52.83,54.51,36.25,76800,76800,3840
52.83,54.51,25.53,76800,76800,960
15.06,50.04,21.39,19200,76800,1920
52.38,50.04,21.39,76800,76800,1920
52.38,50.04,21.39,76800,76800,1920
