"block","1_PW1_e","2_PW2_e","3_DW_e","4_PW1_c","5_PW2_c","6_DW_c","sparse_PW1_C","5_PW2_c","sparse_PW2_C","1_pred_decom_e","2_pred_comp_e","3_main_e","4_overhead_e","5_pred_decom_c","6_pred_comp_c","7_main_c"
"1","49.32","81.24","69.00","14592","30720","3877","7680","30720","6528","133.30","102.91","39.09","84.96","10344","7722","31104"
"2","74.28","81.24","69.00","30720","30720","3877","10752","30720","5376","125.77","102.96","29.90","67.31","10332","7722","23328"
"3","74.28","81.24","69.00","30720","30720","3877","12288","30720","6144","125.77","109.64","29.90","58.54","10332","10296","23328"
"4","74.28","81.24","49.32","30720","30720","995","7680","30720","6528","33.55","27.67","12.46","35.39","2586","2574","10368"
"5","20.07","59.61","37.54","7680","30720","1931","1728","30720","6336","33.55","27.67","12.46","29.87","2586","2574","10368"
"6","56.28","59.61","37.54","30720","30720","1931","5376","30720","6144","33.55","27.67","12.46","29.87","2586","2574","10368"
"7","56.28","59.61","37.54","30720","30720","1931","6096","30720","6336","33.55","32.91","12.46","31.32","2586","4504","10368"
"8","56.28","59.61","37.54","30720","30720","1931","5568","30720","6144","10.53","8.84","6.56","33.92","1139","1139","7938"
"9","56.28","59.61","37.54","30720","30720","1931","5088","30720","6432","10.53","8.84","6.56","25.36","1139","1139","7938"
"10","56.28","59.61","37.54","30720","30720","1931","5136","30720","6624","10.53","8.84","6.56","25.36","1139","1139","7938"
"11","56.28","59.61","37.54","30720","30720","1931","4512","30720","6048","10.53","8.84","6.56","25.36","1139","1139","7938"
"12","56.28","59.61","26.22","30720","30720","490","5040","30720","6048","10.53","8.84","6.56","25.36","1139","1139","7938"
"13","14.49","55.26","22.11","7680","30720","964","1920","30720","6000","10.53","8.84","6.56","25.36","1139","1139","7938"
"14","49.62","55.26","22.11","30720","30720","964","4920","30720","5808","10.53","8.84","6.56","25.36","1139","1139","7938"
"15","49.62","55.26","22.11","30720","30720","964","4608","30720","6336","10.53","12.47","12.04","49.79","1139","2278","15876"
"total","799.9199999999998","967.62","611.6500000000002","398592","460800","29525","88392","92832","29525","603.2799999999997","505.7799999999999","206.69000000000005","573.13","50464.0","48217.0","190674.0"
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","cycles","speedup","","energy","speedup"
"fusion","289355.0","1.0","","1888.8799999999997","1.0"
"sparse","210749","0.7283406196540582","","",""
"fusion","888917","3.07206372794664","","2379.19","1.2595771038922539"
